date,total_hosp,total_rea,new_hosp,new_dc,new_cases,roll_cases,roll_hosp,roll_dc
2021-04-02,28729,5254,2092,301,46677,39400.42857142857,1942.5714285714287,277.42857142857144
2021-04-03,28886,5273,1730,187,13917,35300.142857142855,1965.857142857143,276.42857142857144
2021-04-04,29356,5341,1224,185,66794,39554.42857142857,1995.4285714285713,284.14285714285717
2021-04-05,29907,5433,1219,197,10793,39797.142857142855,1869.7142857142858,260.57142857142856
2021-04-06,30639,5626,2459,409,8045,36560.42857142857,1852.5714285714287,270.85714285714283
2021-04-07,30904,5729,3131,433,12951,29976.571428571428,1984.2857142857142,289.2857142857143
2021-04-08,30555,5705,2156,345,84999,34882.28571428572,2001.5714285714287,293.85714285714283
2021-04-09,30326,5757,2120,301,41243,34106,2005.5714285714287,293.85714285714283
2021-04-10,30238,5769,1649,210,43284,38301.28571428572,1994,297.14285714285717
2021-04-11,30671,5838,1305,178,34895,33744.28571428572,2005.5714285714287,296.14285714285717
2021-04-12,31262,5916,2172,385,8536,33421.857142857145,2141.714285714286,323
2021-04-13,31226,5952,2501,324,39113,37860.142857142855,2147.714285714286,310.85714285714283
2021-04-14,30868,5902,2072,297,43505,42225,1996.4285714285713,291.42857142857144
2021-04-15,30668,5924,2062,300,38045,35517.28571428572,1983,285
2021-04-16,30472,5914,2044,309,36442,34831.42857142857,1972.142857142857,286.14285714285717
2021-04-17,30329,5877,1471,189,35861,33771,1946.7142857142858,283.14285714285717
2021-04-18,30789,5893,1111,140,29344,32978,1919,277.7142857142857
2021-04-19,31214,5970,2066,449,6696,32715.14285714286,1903.857142857143,286.85714285714283
2021-04-20,31086,5984,2404,375,43098,33284.42857142857,1890,294.14285714285717
2021-04-21,30954,5959,2095,316,34968,32064.85714285714,1893.2857142857142,296.85714285714283
2021-04-22,30634,5981,1878,285,34318,31532.428571428572,1867,294.7142857142857
2021-04-23,30438,5962,1932,309,32340,30946.428571428572,1851,294.7142857142857
2021-04-24,30100,5958,1368,220,32633,30485.285714285714,1836.2857142857142,299.14285714285717
2021-04-25,30287,5978,881,145,24465,29788.285714285714,1803.4285714285713,299.85714285714283
2021-04-26,30596,6001,1944,400,5952,29682,1786,292.85714285714283
2021-04-27,30281,5943,2109,338,30317,27856.14285714286,1743.857142857143,287.57142857142856
2021-04-28,29911,5879,1708,324,31539,27366.285714285714,1688.5714285714287,288.7142857142857
2021-04-29,29487,5804,1711,321,26538,26254.85714285714,1664.7142857142858,293.85714285714283
